No.,Name,Net Worth USD billion,Age,Gender,Nationality,Industry
1,Carlos Slim Helu,53.5,70.0,M,Mexico,Telecom
2,Bill Gates,53.0,54.0,M,United States of America,Technology
3,Warren Buffett,47.0,79.0,M,United States of America,Finance
4,Mukesh Ambani,29.0,52.0,M,India,Energy
5,Lakshmi Mittal,28.7,59.0,M,India,Mining
6,Larry Ellison,28.0,65.0,M,United States of America,Technology
7,Bernard Arnault,27.5,61.0,M,France,Fashion & Retail
8,Eike Batista,27.0,53.0,M,Brazil,Mining
9,Amancio Ortega,25.0,74.0,M,Spain,Fashion & Retail
10,Karl Albrecht,23.5,90.0,M,Germany,Fashion & Retail
11,Ingvar Kamprad,23.0,83.0,M,Sweden,Fashion & Retail
12,Christy Walton,22.5,55.0,F,United States of America,Fashion & Retail
13,Stefan Persson,22.4,62.0,M,Sweden,Fashion & Retail
14,Li Ka-shing,21.0,81.0,M,Hong Kong,Diversified
15,Jim Walton,20.7,62.0,M,United States of America,Fashion & Retail
16,Alice Walton,20.6,60.0,F,United States of America,Fashion & Retail
17,Liliane Bettencourt,20.0,87.0,F,France,Fashion & Retail
18,S. Robson Walton,19.8,66.0,M,United States of America,Fashion & Retail
19,Prince Alwaleed Bin Talal Alsaud,19.4,55.0,M,Saudi Arabia,Finance
20,David Thomson,19.0,52.0,M,Canada,Media & Entertainment
21,Michael Otto,18.7,66.0,M,Germany,Fashion & Retail
22,Lee Shau Kee,18.5,82.0,M,Hong Kong,Real Estate
23,Michael Bloomberg,18.0,68.0,M,United States of America,Media & Entertainment
24,Sergey Brin,17.5,36.0,M,United States of America,Technology
24,Charles Koch,17.5,74.0,M,United States of America,Diversified
24,David Koch,17.5,69.0,M,United States of America,Diversified
24,Larry Page,17.5,37.0,M,United States of America,Technology
28,Michele Ferrero,17.0,83.0,M,Italy,Food & Beverage
28,Thomas & Raymond Kwok,17.0,,M,Hong Kong,Real Estate
28,Azim Premji,17.0,64.0,M,India,Technology
31,Theo Albrecht,16.7,88.0,M,Germany,Fashion & Retail
32,Vladimir Lisin,15.8,53.0,M,Russia,Mining
33,Steve Ballmer,14.5,54.0,M,United States of America,Technology
33,Robert Kuok,14.5,86.0,M,Malaysia,Diversified
35,George Soros,14.0,79.0,M,United States of America,Finance
36,Anil Ambani,13.7,50.0,M,India,Energy
37,Paul Allen,13.5,57.0,M,United States of America,Technology
37,Michael Dell,13.5,45.0,M,United States of America,Technology
39,Mikhail Prokhorov,13.4,44.0,M,Russia,Finance
40,Birgit Rausing,13.0,86.0,F,Sweden,Food & Beverage
40,Shashi & Ravi Ruia,13.0,66.0,M,India,Diversified
42,Mikhail Fridman,12.7,45.0,M,Russia,Energy
43,Jeff Bezos,12.3,46.0,M,United States of America,Technology
44,Savitri Jindal,12.2,60.0,M,India,Mining
45,Donald Bren,12.0,77.0,M,United States of America,Real Estate
45,Gerald Cavendish Grosvenor,12.0,58.0,M,United Kingdom,Real Estate
45,John Paulson,12.0,54.0,M,United States of America,Finance
48,Abigail Johnson,11.5,48.0,F,United States of America,Finace
48,Jorge Paulo Lemann,11.5,70.0,M,Brazil,Food & Beverage
50,Roman Abramovich,11.2,43.0,M,Russia,Diversified
51,Susanne Klatten,11.1,47.0,F,Germany,Automotive
52,Iris Fontbona,11.0,67,F,Chile,Mining
52,"Forrest Mars, Jr.",11.0,78.0,M,United States of America,Food & Beverage
52,Jacqueline Mars,11.0,70.0,F,United States of America,Food & Beverage
52,John Mars,11.0,73.0,M,United States of America,Food & Beverage
52,Ronald Perelman,11.0,67.0,M,United States of America,Finance
57,Oleg Deripaska,10.7,42.0,M,Russia,Mining
58,Vagit Alekperov,10.6,59.0,M,Russia,Energy
59,Leonardo Del Vecchio,10.5,74.0,M,Italy,Fashion & Retail
59,Carl Icahn,10.5,74.0,M,United States of America,Finace
61,Vladimir Potanin,10.3,49.0,M,Russia,Mining
62,Phil Knight,10.2,72.0,M,United States of America,Fashion & Retail
63,Ricardo Salinas Pliego,10.1,54.0,M,Mexico,Fashion & Retail
64,Mohammed Al Amoudi,10.0,65.0,M,Saudi Arabia,Energy
64,Ernesto Bertarelli,10.0,44.0,M,Switzerland,Healthcare
64,Anne Cox Chambers,10.0,90.0,F,United States of America,Media & Entertainment
64,George Kaiser,10.0,67.0,M,United States of America,Energy
64,Hans Rausing,10.0,84.0,M,Sweden,Food & Beverage
64,Joseph Safra,10.0,71.0,M,Brazil,Finance
70,Alexey Mordashov,9.9,44.0,M,Russia,Mining
71,Viktor Rashnikov,9.8,61.0,M,Russia,Mining
72,German Larrea Mota Velasco,9.7,56.0,M,Mexico,Mining
73,Sheldon Adelson,9.3,76.0,M,United States of America,Gambling & Casinos
74,Silvio Berlusconi,9.0,73.0,M,Italy,Diversified
74,Dan Duncan,9.0,77.0,M,United States of America,Energy
74,Kushal Pal Singh,9.0,78.0,M,India,Real Estate
77,Nasser Al-Kharafi,8.7,66.0,M,Kuwait,Real Estate
77,Francois Pinault,8.7,73.0,M,France,Fashion & Retail
79,Dmitry Rybolovlev,8.6,43.0,M,Russia,Manufacturing
80,Iskander Makhmudov,8.5,46.0,M,Russia,Mining
80,James Simons,8.5,71.0,M,United States of America,Finance
82,Alberto Bailleres Gonzalez,8.3,77.0,M,Mexico,Mining
83,German Khan,8.2,48.0,M,Russia,Energy
84,"Eliodoro, Bernardo & Patricia Matte",8.1,64.0,,Chile,Manufacturing
85,Edward Johnson III,8.0,79.0,M,United States of America,Finance
86,Kumar Birla,7.9,42.0,M,India,Diversified
87,Sunil Mittal,7.8,52.0,M,India,Telecom
88,John Fredriksen,7.7,65.0,M,Cyprus,Logistics
89,Serge Dassault,7.6,84.0,M,France,Diversified
89,Petr Kellner,7.6,45.0,M,Czech Republic,Finance
89,Ananda Krishnan,7.6,71.0,M,Malaysia,Telecom
89,Tadashi Yanai,7.6,61.0,M,Japan,Fashion & Retail
93,Mohamed Bin Issa Al Jaber,7.5,51.0,M,Saudi Arabia,Real Estate
93,Len Blavatnik,7.5,52.0,M,United States of America,Diversified
93,David & Simon Reuben,7.5,67.0,M,United Kingdom,Real Estate
93,Nobutada Saji,7.5,64.0,M,Japan,Food & Beverage
93,Alain & Gerard Wertheimer,7.5,,M,France,Fashion & Retail
93,Vladimir Yevtushenkov,7.5,61.0,M,Russia,Telecom
99,August von Finck,7.3,80.0,M,Germany,Finance
100,Lee Kun-Hee,7.2,68.0,M,South Korea,Technology
100,Alisher Usmanov,7.2,56.0,M,Russia,Mining
100,Galen Weston,7.2,69.0,M,Canada,Fashion & Retail
