No.,Name,Net Worth USD billion,Age,Gender,Nationality,Source(s) of wealth,Industry
1,Carlos Slim Helu,73.0,73,M,Mexico,telecom,Telecom
2,Bill Gates,67.0,57,M,United States of America,Microsoft,Technology
3,Amancio Ortega,57.0,76,M,Spain,Zara,Fashion & Retail
4,Warren Buffett,53.5,82,M,United States of America,Berkshire Hathaway,Finance
5,Larry Ellison,43.0,68,M,United States of America,Oracle,Technology
6,Charles Koch,34.0,77,M,United States of America,diversified,Diversified
6,David Koch,34.0,72,M,United States of America,diversified,Diversified
8,Li Ka-shing,31.0,84,M,Hong Kong,diversified,Diversified
9,Liliane Bettencourt,30.0,90,F,France,L'Oréal,Fashion & Retail
10,Bernard Arnault,29.0,64,M,France,LVMH,Fashion & Retail
11,Christy Walton,28.2,58,F,United States of America,Wal-Mart,Fashion & Retail
12,Stefan Persson,28.0,65,M,Sweden,H&M,Fashion & Retail
13,Michael Bloomberg,27.0,71,M,United States of America,Bloomberg LP,Media & Entertainment
14,Jim Walton,26.7,65,M,United States of America,Wal-Mart,Fashion & Retail
15,Sheldon Adelson,26.5,79,M,United States of America,casinos,Gambling & Casinos
16,Alice Walton,26.3,63,F,United States of America,Wal-Mart,Fashion & Retail
17,S. Robson Walton,26.1,69,M,United States of America,Wal-Mart,Fashion & Retail
18,Karl Albrecht,26.0,93,M,Germany,Aldi,Fashion & Retail
19,Jeff Bezos,25.2,49,M,United States of America,Amazon.com,Technology
20,Larry Page,23.0,39,M,United States of America,Google,Technology
21,Sergey Brin,22.8,39,M,United States of America,Google,Technology
22,Mukesh Ambani,21.5,55,M,India,"petrochemicals, oil & gas",Energy
23,Michele Ferrero,20.4,87,F,Italy,chocolates,Food & Beverage
24,Lee Shau Kee,20.3,85,M,Hong Kong,diversified,Diversified
24,David Thomson,20.3,55,M,Canada,media,Media & Entertainment
26,Prince Alwaleed Bin Talal Alsaud,20.0,58,M,Saudi Arabia,investments,Finance
26,Carl Icahn,20.0,77,M,United States of America,leveraged buyouts,Finance
26,Thomas & Raymond Kwok,20.0,,M,Hong Kong,real estate,Real Estate
29,Dieter Schwarz,19.5,73,M,Germany,retail,Fashion & Retail
30,George Soros,19.2,82,M,United States of America,hedge funds,Finance
