No.,Name,Nationality,Age,Gender,Net Worth USD billion,Source(s) of wealth,Industry
1,Bill Gates,United States of America,59.0,M,79.2,Microsoft,Technology
2,Carlos Slim Helu,Mexico,75.0,M,77.1,Telecom,Telecom
3,Warren Buffett,United States of America,84.0,M,72.7,Berkshire Hathaway,Finance
4,Amancio Ortega,Spain,78.0,M,64.5,Zara,Fashion & Retail
5,Larry Ellison,United States of America,70.0,M,54.3,Oracle,Technology
6,Charles Koch,United States of America,79.0,M,42.9,Diversified,Diversified
6,David Koch,United States of America,74.0,M,42.9,Diversified,Diversified
8,Christy Walton,United States of America,60.0,F,41.7,Wal-Mart,Fashion & Retail
9,Jim Walton,United States of America,67.0,M,40.6,Wal-Mart,Fashion & Retail
10,Liliane Bettencourt,France,92.0,F,40.1,L'Oréal,Fashion & Retail
11,Alice Walton,United States of America,65.0,F,39.4,Wal-Mart,Fashion & Retail
12,S. Robson Walton,United States of America,71.0,M,39.1,Wal-Mart,Fashion & Retail
13,Bernard Arnault,France,66.0,M,37.2,LVMH,Fashion & Retail
14,Michael Bloomberg,United States of America,73.0,M,35.5,Bloomberg LP,Media & Entertainment
15,Jeff Bezos,United States of America,51.0,M,34.8,Amazon.com,Technology
16,Mark Zuckerberg,United States of America,30.0,M,33.4,Facebook,Technology
17,Li Ka-shing,Hong Kong,86.0,M,33.3,Diversified,Diversified
18,Sheldon Adelson,United States of America,81.0,M,31.4,Casinos,Gambling & Casinos
19,Larry Page,United States of America,41.0,M,29.7,Google,Technology
20,Sergey Brin,United States of America,41.0,M,29.2,Google,Technology
21,Georg Schaeffler,Germany,50.0,M,26.9,Ball bearings,Manufacturing
22,"Forrest Mars, Jr.",United States of America,83.0,M,26.6,Candy,Food & Beverage
22,Jacqueline Mars,United States of America,75.0,F,26.6,Candy,Food & Beverage
22,John Mars,United States of America,78.0,M,26.6,Candy,Food & Beverage
25,David Thomson,Canada,57.0,M,25.5,Media,Media & Entertainment
26,Jorge Paulo Lemann,Brazil,75.0,M,25.0,Beer,Food & Beverage
27,Lee Shau Kee,Hong Kong,87.0,M,24.8,Real estate,Real Estate
28,Stefan Persson,Sweden,67.0,M,24.5,H&M,Fashion & Retail
29,George Soros,United States of America,84.0,M,24.2,Hedge funds,Finance
29,Wang Jianlin,China,60.0,M,24.2,Real Estate,Real Estate
31,Carl Icahn,United States of America,79.0,M,23.5,Investments,Finance
32,Maria Franca Fissolo,Italy,97.0,F,23.4,"Nutella, chocolates",Food & Beverage
